date,total_revenue
2020-08-05,5360.4960587
2020-08-06,3868.186314
2020-08-07,3078.9975857
2020-08-08,3515.6222717
2020-08-09,3458.3461332
2020-08-10,8237.0279834
2020-08-11,7479.2377761
2020-08-12,5930.4637621
2020-08-13,5815.6080494
2020-08-14,4511.9798839
2020-08-15,4408.7383402000005
2020-08-16,5399.9949073
2020-08-17,8806.8282388
2020-08-18,7596.1117487
2020-08-19,5073.8873821
2020-08-20,5267.4157353
2020-08-21,4539.0055409
2020-08-22,2090.1263382
2020-08-23,4904.0912014
2020-08-24,6276.7081647
2020-08-25,6860.2036859
2020-08-26,5655.4456935
2020-08-27,3383.4177833
2020-08-28,4256.4832897999995
2020-08-29,2868.6664263
2020-08-30,3795.3035552
2020-08-31,4607.696498
2020-09-01,6469.4000611
2020-09-02,4423.2426649
2020-09-03,4281.7405468
2020-09-04,4716.6833242
2020-09-05,2963.9680139
2020-09-06,5256.3026004
2020-09-07,7749.7583541
2020-09-08,8146.2348248
2020-09-09,4709.0988303
2020-09-10,5005.7219441
2020-09-11,3540.8540835
2020-09-12,5962.3491866
2020-09-13,7549.515342
2020-09-14,7674.7753834
2020-09-15,5762.7759915
2020-09-16,5346.8134184
2020-09-17,6253.784745
2020-09-18,3234.0164331
2020-09-19,4323.2866659
2020-09-20,6060.8467201
2020-09-21,8384.6165399
2020-09-22,4962.9483873
2020-09-23,5948.7326358
2020-09-24,4772.2334798
2020-09-25,2822.8476017
2020-09-26,4795.6098967
2020-09-27,6381.9457763
2020-09-28,6063.3674737
2020-09-29,3728.3557762
2020-09-30,3757.4968537
2020-10-01,4553.8993397
2020-10-02,3964.5143111
2020-10-03,4077.0668966
2020-10-04,3879.0564314
2020-10-05,4678.1072332
2020-10-06,4808.0287427
2020-10-07,5042.9703243
2020-10-08,3407.1373108
2020-10-09,3088.2705
2020-10-10,2943.7572057
2020-10-11,3695.082484
2020-10-12,4915.3897447
2020-10-13,2559.8112642
2020-10-14,3298.3434358
2020-10-15,1543.2161155
2020-10-16,2644.7741037
2020-10-17,3006.8678801
2020-10-18,3018.3910385
2020-10-19,2734.3187425
2020-10-20,1656.926817
2020-10-21,3909.0986568
2020-10-22,1774.8011707
2020-10-23,1523.7929072
2020-10-24,2096.5097143
2020-10-25,2492.1070462
2020-10-26,3019.1516576
2020-10-27,2053.5890439
2020-10-28,2834.2042742
2020-10-29,2588.4197923
2020-10-30,1691.2312419
2020-10-31,1231.6260637
2020-11-01,3145.2097807
2020-11-02,4305.140883
2020-11-03,2879.1659848
2020-11-04,3919.6876311
2020-11-05,3538.5306593
